Unnamed: 0,URLS,Race,Gender,Disability,SOGI,Military,Age,Family,Religion,Company_Name
83,https://www.americanexpress.com/us/company/global-diversity-and-inclusion.html,7.0,10.0,2.0,3.0,0.0,3.0,0.0,2.0,Deere
84,https://www.abbott.com/careers/diversity-and-inclusion.html,19.0,6.0,0.0,2.0,4.0,2.0,4.0,0.0,American Express
85,https://www.stonex.com/featured-insights/webinarsvideos/perspectives-on-social-impact-diversity--inclusion/,0.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,Abbott Laboratories
86,https://www.plains.com/sustainability/our-people,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,StoneX Group
87,https://www.enterpriseproducts.com/careers/diversity-inclusion/,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Plains GP Holdings
88,https://www.tiaa.org/public/about-tiaa/diversity-inclusion,13.0,9.0,0.0,1.0,3.0,4.0,5.0,0.0,Enterprise Products Partners
89,https://www.oracle.com/corporate/careers/diversity-inclusion/,,,,,,,,,TIAA
90,https://corporate.thermofisher.com/content/tfcorpsite/us/en/index/corporate-social-responsibility/colleagues/diversity-and-inclusion.html,11.0,5.0,1.0,2.0,3.0,0.0,1.0,0.0,Oracle
91,https://www.coca-colacompany.com/social-impact/diversity-and-inclusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Thermo Fisher Scientific
92,https://www.gd.com/careers/diversity,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Coca-Cola
93,https://jobs.chsinc.com/inclusion-diversity,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,General Dynamics
94,https://www.usaa.com/inet/wc/about_usaa_corporate_diversity_main,11.0,4.0,1.0,3.0,11.0,2.0,3.0,0.0,CHS
95,https://www.northwesternmutual.com/our-commitment-to-diversity/,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,USAA
96,https://assets.ctfassets.net/aax1cfbwhqog/72htemxdQ7g2pppxbheRFd/dcb8018e3ae7754cfc111c2536a9baf8/Nucor-s_Commitment_to_Diversity_Equity_and_Inclusion.pdf,14.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,Northwestern Mutual
97,https://www.exeloncorp.com/diversity-equity-inclusion,7.0,3.0,2.0,0.0,0.0,5.0,0.0,1.0,Nucor
98,https://www.massmutual.com/sustainability/diversity-equity-and-inclusion,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Exelon
99,https://www.northropgrumman.com/sustainability/diversity-equity-and-inclusion/,6.0,5.0,1.0,1.0,2.0,1.0,4.0,0.0,Massachusetts Mutual Life Insurance
100,https://www.3m.com/3M/en_US/sustainability-us/social/diversity-equity-and-inclusion/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Northrop Grumman
101,https://www.travelers.com/about-travelers/diversity,7.0,0.0,4.0,1.0,2.0,4.0,3.0,0.0,3M
102,https://careers.arrow.com/us/en/diversity-equality-and-inclusion,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Travelers
103,https://www.honeywell.com/us/en/company/inclusion-and-diversity,11.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,Arrow Electronics
104,https://careers.dollargeneral.com/diversity-inclusion/,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Honeywell International
105,https://www.qualcomm.com/company/corporate-responsibility/our-people/inclusion-diversity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dollar General
106,https://www.capitalone.com/diversity/,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Qualcomm
107,https://www.synnexcorp.com/careers/diversity-equity-inclusion/,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Capital One Financial
108,https://www.pmi.com/inclusion-diversity,1.0,12.0,1.0,4.0,0.0,2.0,0.0,0.0,TD Synnex
109,https://www.wfscorp.com/en/Careers/Equal-Employment-Opportunity-Statement,2.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,Philip Morris International
110,https://investors.pfgc.com/press-releases/press-release-details/2021/Performance-Food-Group-Company-Announces-Addition-of-Vice-President-of-Diversity--Inclusion/default.aspx,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,World Fuel Services
111,https://www.delta.com/us/en/about-delta/diversity,13.0,8.0,3.0,5.0,6.0,3.0,2.0,0.0,Performance Food Group
112,https://www.aa.com/i18n/customer-service/about-us/diversity/inclusion-and-diversity.jsp,0.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,Delta Air Lines
113,https://about.netflix.com/en/inclusion,4.0,1.0,17.0,0.0,0.0,1.0,0.0,0.0,American Airlines Group
114,https://www.paramount.com/inclusion-2021/introduction,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Netflix
115,https://www.usfoods.com/about-us-foods/diversity-and-inclusion.html,3.0,4.0,2.0,1.0,0.0,3.0,0.0,1.0,Paramount Global
116,https://www.danaher.com/who-we-are/diversity-inclusion,3.0,4.0,2.0,1.0,0.0,3.0,0.0,1.0,US Foods Holding
117,https://www.jabil.com/about-us/culture/we-are-jabil/diversity-equity-inclusion.html,8.0,17.0,7.0,5.0,7.0,11.0,5.0,1.0,Danaher
118,https://stories.starbucks.com/stories/inclusion-diversity/,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,Jabil
119,https://www.mondelezinternational.com/About-Us/Diversity-Equity-and-Inclusion,9.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,Starbucks
120,https://www.lilly.com/impact/empowering-a-diverse-workforce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mondelez International
121,https://www.hpe.com/us/en/about/diversity.html,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,Eli Lilly
122,https://investor.drhorton.com/~/media/Files/D/D-R-Horton-IR/documents/human-rights-policy-final.pdf,,,,,,,,,Hewlett Packard Enterprise
123,https://www.molinahealthcare.com/members/common/en-us/supplier-diversity.aspx,2.0,1.0,5.0,2.0,2.0,0.0,2.0,0.0,D.R. Horton
124,https://www.cbre.com/careers/diversity-equity-and-inclusion,1.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,Molina Healthcare
125,https://www.micron.com/about/our-commitment/empowering-people/diversity-equality-and-inclusion,16.0,6.0,0.0,3.0,1.0,3.0,1.0,0.0,CBRE Group
126,https://www.broadcom.com/company/citizenship/workforce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Micron Technology
127,https://www.gilead.com/purpose/inclusion-and-diversity,30.0,14.0,1.0,14.0,3.0,7.0,4.0,0.0,Broadcom
128,https://www.pbfenergy.com/corporate-citizenship/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gilead Sciences
129,https://investors.lennar.com/~/media/Files/L/Lennar-IR-V3/documents/governance-documents/lennar-2022-social-responsibility-report.pdf,,,,,,,,,PBF Energy
130,https://betterforall.unfi.com/social/diversity-inclusion.html,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Lennar
131,https://www.nrg.com/about/diversity-equity-and-inclusion.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United Natural Foods
132,https://www.nvidia.com/en-us/about-nvidia/careers/diversity-and-inclusion/,11.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,NRG Energy
133,https://www.oxy.com/about/our-DEI-commitment/,5.0,6.0,0.0,0.0,0.0,11.0,4.0,0.0,Nvidia
134,https://www.salesforce.com/company/equality/,42.0,15.0,3.0,4.0,0.0,1.0,1.0,0.0,Occidental Petroleum
135,https://corporate.dollartree.com/values/equality-belonging-dei,7.0,9.0,1.0,5.0,0.0,2.0,5.0,0.0,Salesforce
136,https://www.kkr.com/our-firm/life-kkr/commitment-diversity,7.0,9.0,0.0,1.0,6.0,4.0,2.0,0.0,Dollar Tree
137,https://www.kraftheinzcompany.com/diversity-inclusion.html,17.0,29.0,2.0,13.0,0.0,8.0,3.0,2.0,KKR
138,https://www.amgen.com/responsibility/healthy-society/diversity-and-inclusion,4.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,Kraft Heinz
139,https://www.autonation.com/our-purpose/one-autonation,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Amgen
140,https://www.gopenske.com/our-company/diversity-and-inclusion,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,AutoNation
141,https://about.pypl.com/how-we-work/diversity-and-inclusion/,14.0,12.0,2.0,3.0,2.0,2.0,0.0,1.0,Penske Automotive Group
142,https://www.macysinc.com/news-media/press-releases/detail/1576/macys-inc-creates-bold-vision-to-advance-diversity-and,5.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,PayPal Holdings
143,https://www.duke-energy.com/our-company/about-us/diversity,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Macy's
144,https://www.united.com/ual/en/us/fly/company/global-citizenship/diversity.html,0.0,4.0,3.0,3.0,2.0,0.0,1.0,0.0,Duke Energy
145,https://usa.visa.com/about-visa/diversity-inclusion.html,10.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,United Airlines Holdings
146,https://www.riteaid.com/about-us/diversity-equity-inclusion,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,Visa
147,https://www.cummins.com/company/esg/social/diversity,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Rite Aid
148,https://www.usbank.com/about-us-bank/diversity.html,3.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,Cummins
149,https://jobs.paccar.com/content/Diversity-and-Inclusion/?locale=en_US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.S. Bancorp
150,https://corporate.mcdonalds.com/corpmcd/our-purpose-and-impact/jobs-inclusion-and-empowerment/diversity-and-inclusion.html,44.0,19.0,1.0,7.0,0.0,6.0,6.0,1.0,Paccar
151,https://www.southerncompany.com/our-community/diversity.html,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,McDonald's
152,https://www.chrobinson.com/en-us/about-us/corporate-responsibility/diversity-inclusion/,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Southern
153,https://www.truist.com/who-we-are/diversity-equity-inclusion,12.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,C.H. Robinson Worldwide
154,https://www.appliedmaterials.com/us/en/careers/inclusion.html,3.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,Truist Financial
155,https://fcx.com/sustainability/people/inclusion_diversity,13.0,14.0,0.0,1.0,0.0,1.0,3.0,0.0,Applied Materials
156,https://www.comparably.com/companies/lithia-motors/diversity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Freeport-McMoRan
157,https://www.blackstone.com/careers/diversity-equity-inclusion/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lithia Motors
158,https://www.thehartford.com/about-us/corporate-diversity,0.0,3.0,2.0,1.0,0.0,2.0,7.0,0.0,Blackstone
159,https://www.aflac.com/brokers/resources/articles/diversity-equity-and-inclusion-are-the-aflac-way.aspx,8.0,13.0,2.0,0.0,0.0,1.0,4.0,0.0,Hartford Financial Services Group
160,https://www.whirlpoolcorp.com/inclusion-diversity/,24.0,11.0,1.0,2.0,2.0,4.0,3.0,0.0,Aflac
161,https://www.up.com/aboutup/corporate_info/diversity/index.htm,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Whirlpool
162,https://www.internationalpaper.com/careers/diversity-inclusion,10.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,Union Pacific
163,https://www.altria.com/people-and-careers/our-people-and-communities/inclusion-diversity-and-equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,International Paper
164,https://www.cdw.com/content/cdw/en/about/overview/diversity-and-inclusion.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Altria Group
165,https://www.manpowergroup.com/sustainability/diversity,16.0,13.0,1.0,1.0,0.0,4.0,0.0,0.0,CDW
166,https://www.pge.com/en_US/about-pge/company-information/diversity-and-inclusion/diversity-and-inclusion.page,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,ManpowerGroup
167,https://www.corporate.carrier.com/news/stories/stories-articles/carrier_launches_new_diversity_and_inclusion_brand.html,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PG&E
168,https://www.bakerhughes.com/company/corporate-responsibility/people/diversity-equity-and-inclusion,4.0,5.0,6.0,1.0,0.0,6.0,1.0,1.0,Carrier Global
169,https://careers.clevelandcliffs.com/diversity-and-inclusion/,3.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,Baker Hughes
170,https://www.ussteel.com/inclusion-diversity,1.0,3.0,2.0,1.0,4.0,5.0,3.0,0.0,Cleveland-Cliffs
171,https://jobs.bd.com/inclusion-and-diversity,4.0,6.0,2.0,2.0,2.0,3.0,7.0,0.0,United States Steel
172,https://careers.carmax.com/us/en/diversity-inclusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Becton Dickinson
173,https://corporate.sherwin-williams.com/sustainability/focus-areas/social-imprint/inclusion.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CarMax
174,https://www.bldr.com/join-our-team/diversity-equity-inclusion,10.0,7.0,1.0,0.0,3.0,0.0,4.0,0.0,Sherwin-Williams
175,https://www.marsh.com/at/en/about/about-marsh/diversity-and-inclusion-marsh.html,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,Builders FirstSource
176,https://www.pnc.com/en/about-pnc/corporate-responsibility/diversity-and-inclusion.html,4.0,7.0,1.0,2.0,3.0,2.0,2.0,1.0,Marsh & McLennan
177,https://jobs.lumen.com/global/en/diversity-inclusion-belonging,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,PNC Financial Services Group
