,Company Names
539,['Levi Strauss']
540,['Tapestry']
541,['NetApp']
542,['KB Home']
543,['Continental Resources']
544,['Intuitive Surgical']
545,['Under Armour']
546,['MDU Resources Group']
547,['Silgan Holdings']
548,['Ryerson Holding']
549,['Ingersoll Rand']
550,['Hologic']
551,['Electronic Arts']
552,['Zebra Technologies']
553,['Coty']
554,['Schneider National']
555,['Sonoco Products']
556,['Concentrix']
557,['Evergy']
558,['Cornerstone Building Brands']
559,['Coca-Cola Consolidated']
560,['Greif']
561,['Vulcan Materials']
562,['Ametek']
563,['Monster Beverage']
564,['Sealed Air']
565,['NOV']
566,['Las Vegas Sands']
567,['Martin Marietta Materials']
568,['Marathon Oil']
569,['Mattel']
570,['Microchip Technology']
571,['Harley-Davidson']
572,['Telephone & Data Systems']
573,['ADT']
574,['First Republic Bank']
575,['Warner Music Group']
576,['Pool']
577,['Old Dominion Freight Line']
578,['Fortive']
579,['MDC Holdings']
580,['NGL Energy Partners']
581,['Edwards Lifesciences']
582,['Hanover Insurance Group']
583,['Syneos Health']
584,['Xylem']
585,['Church & Dwight']
586,['American Axle & Manufacturing']
587,['Meritage Homes']
588,['Workday']
589,['Rush Enterprises']
590,['Yellow']
591,['Encompass Health']
592,['Simon Property Group']
593,['Globe Life']
594,['Skyworks Solutions']
595,['Endeavor Group Holdings']
596,['Twitter']
597,['Leggett & Platt']
598,['Western Union']
599,['PerkinElmer']
600,['SS&C Technologies Holdings']
601,['CUNA Mutual Group']
602,['FMC']
603,['Carlisle']
604,['American Eagle Outfitters']
605,['Core & Main']
606,['Vertiv Holdings']
607,['Broadridge Financial Solutions']
608,['Ingles Markets']
609,['TPG']
610,['Insperity']
611,['Howmet Aerospace']
612,['R.R. Donnelley & Sons']
613,['Keysight Technologies']
614,['Tempur Sealy International']
615,['Scotts Miracle-Gro']
616,['Equifax']
617,['Kelly Services']
618,['NiSource']
619,['OneMain Holdings']
620,['DoorDash']
621,['Avient']
622,['Sanderson Farms']
623,['TransDigm Group']
624,['Stifel Financial']
625,['JELD-WEN Holding']
626,['Ares Management']
627,['Elanco Animal Health']
628,['Prologis']
629,['Welltower']
630,['Darling Ingredients']
631,['Juniper Networks']
632,['Gartner']
633,['Par Pacific Holdings']
634,['Hubbell']
635,['CME Group']
636,['Nexstar Media Group']
637,['Tutor Perini']
638,['Antero Resources']
639,['Teledyne Technologies']
640,['Snap-on']
641,['Rent-A-Center']
642,['Covetrus']
643,['Crestwood Equity Partners']
644,['Louisiana-Pacific']
645,['Urban Outfitters']
646,['Penn Mutual Life Insurance']
647,['Amerco']
648,['TriNet Group']
649,['Sentry Insurance Group']
650,['Illumina']
651,['Iron Mountain']
652,['LCI Industries']
653,['Marvell Technology']
654,['PennyMac Financial Services']
655,['Digital Realty Trust']
656,['TreeHouse Foods']
657,['Ralph Lauren']
658,['Mattress Firm Group']
659,['American National Group']
660,['Autodesk']
661,"[""Domino's Pizza""]"
662,['ASGN']
663,['Flowers Foods']
664,['BlueLinx Holdings']
665,['Palo Alto Networks']
666,['Maximus']
667,['Dentsply Sirona']
668,['Hub Group']
669,['Voya Financial']
670,['Bread Financial Holdings']
671,['Weis Markets']
672,['Century Communities']
673,['Synopsys']
674,"[""Brink's""]"
675,['Lennox International']
676,['Service Corp. International']
677,['Conduent']
678,['Timken']
679,['Domtar']
680,"[""Bloomin' Brands""]"
681,['CNO Financial Group']
682,['Snap']
683,['Zoom Video Communications']
684,['Patrick Industries']
685,['Paychex']
686,['Atlas Air Worldwide Holdings']
687,['Bright Health Group']
688,['Peloton Interactive']
689,['Country Financial']
690,['Qorvo']
691,['Catalent']
692,['Mercury General']
693,['AMN Healthcare Services']
694,['Tri Pointe Homes']
695,['ArcBest']
696,['Toro']
697,['Spirit AeroSystems Holdings']
698,['Align Technology']
699,['loanDepot']
700,['APi Group']
701,['American Water Works']
702,['Matson']
703,['Diebold Nixdorf']
704,['Marriott Vacations Worldwide']
705,['Terex']
706,['Sally Beauty Holdings']
707,['Enovis']
708,['IAC']
709,['Meritor']
710,['Ventas']
711,['GoDaddy']
712,['Regal Rexnord']
713,['Puget Energy']
714,['Clean Harbors']
715,['Pinnacle West Capital']
716,['eXp World Holdings']
717,['Mueller Industries']
718,['Wynn Resorts']
719,['RH']
720,['EPAM Systems']
721,['M/I Homes']
722,['Generac Holdings']
723,['Mettler-Toledo International']
724,['Abercrombie & Fitch']
725,['Teradyne']
726,['American Equity Investment Life Holding']
727,['Southwest Gas Holdings']
728,['Pitney Bowes']
729,['Lamb Weston Holdings']
730,['Alliant Energy']
731,['Resolute Forest Products']
732,['Parsons']
733,['Trimble']
734,['OGE Energy']
735,['Garrett Motion']
736,['Winnebago Industries']
737,['Ciena']
738,['PriceSmart']
739,['Advantage Solutions']
740,['H&R Block']
741,['iHeartMedia']
742,['Super Micro Computer']
743,['Flowserve']
744,['Charles River Laboratories International']
745,['A.O. Smith']
746,['Rithm Capital']
747,['Medical Mutual of Ohio']
748,['Granite Construction']
749,['Valmont Industries']
750,['Sprague Resources']
751,['Primoris Services']
752,['Cboe Global Markets']
753,"[""Carter's""]"
754,['TopBuild']
755,['SiteOne Landscape Supply']
756,['Texas Roadhouse']
757,['Akamai Technologies']
758,['Acuity Brands']
759,['Brown-Forman']
760,['Navient']
761,['Coterra Energy']
762,['Option Care Health']
763,['Floor & Decor Holdings']
764,['Public Storage']
765,['Cabot']
766,['Crane Holdings']
767,['Atmos Energy']
768,['Selective Insurance Group']
769,['Take-Two Interactive Software']
770,['Boyd Gaming']
771,['Plexus']
772,['ScanSource']
773,['Franchise Group']
774,['NLV Financial']
775,['CrossAmerica Partners']
776,['Mr. Cooper Group']
777,['Fortinet']
778,['Brinker International']
779,['Albemarle']
780,['Peabody Energy']
781,['Light & Wonder']
782,['Evercore']
783,['Stewart Information Services']
784,['Central Garden & Pet']
785,['GMS']
786,['H.B. Fuller']
787,['Middleby']
788,['Renewable Energy Group']
789,['MSC Industrial Direct']
790,['Vishay Intertechnology']
791,['Applied Industrial Technologies']
792,['Lincoln Electric Holdings']
793,['First Horizon']
794,['Spirit Airlines']
795,['AptarGroup']
796,['Citrix Systems']
797,['IDEXX Laboratories']
798,['Tetra Tech']
799,['Lyft']
800,['Gannett']
801,['ResMed']
802,['Designer Brands']
803,['Graham Holdings']
804,['Vroom']
805,['Worthington Industries']
806,['Calumet Specialty Products Partners']
807,['Xilinx']
808,['TransUnion']
809,['Travel + Leisure']
810,['Topgolf Callaway Brands']
811,['Dycom Industries']
812,['Columbia Sportswear']
813,['Coherent']
814,['Change Healthcare']
815,['Grocery Outlet Holding']
816,['AMC Networks']
817,['Hyster-Yale Materials Handling']
818,['ChampionX']
819,['Comfort Systems USA']
820,['EQT']
821,['Brown & Brown']
822,['LGI Homes']
823,['Hyatt Hotels']
824,['Comerica']
825,['Energizer Holdings']
826,['Hill-Rom Holdings']
827,['Rackspace Technology']
828,['Verisk Analytics']
829,['Spectrum Brands Holdings']
830,['Euronet Worldwide']
831,['TEGNA']
832,['Vontier']
833,['Cadence Design Systems']
834,['Incyte']
835,['Match Group']
836,['Valvoline']
837,['EnerSys']
838,['Avaya Holdings']
839,['UWM Holdings']
840,['Zions Bancorp.']
841,['Quad/Graphics']
842,['MKS Instruments']
843,['Arista Networks']
844,['Interactive Brokers Group']
845,['Range Resources']
846,['Atkore']
847,['Cheesecake Factory']
848,['First Solar']
849,['Bio-Rad Laboratories']
850,['Cooper Cos.']
851,['Envista Holdings']
852,['Alight']
853,['Newmark Group']
854,['PC Connection']
855,['Host Hotels & Resorts']
856,['Boston Properties']
857,['Western Midstream Partners']
858,['Magellan Midstream Partners']
859,['Hillenbrand']
860,['Donaldson']
861,['Moog']
862,['Hawaiian Electric Industries']
863,['Five Below']
864,['Twilio']
865,['Univision Communciations']
866,['Annaly Capital Management']
867,['Fleetcor Technologies']
868,['West Pharmaceutical Services']
869,['Green Plains']
870,['Cracker Barrel Old Country Store']
871,['Virtu Financial']
872,['Teleflex']
873,['Zynga']
874,['ATI']
875,['AppLovin']
876,['Waters']
877,['Mutual of America Life Insurance']
878,['Hovnanian Enterprises']
879,['Amica Mutual Insurance']
880,['Caleres']
881,['FTI Consulting']
882,['Overstock.com']
883,['Visteon']
884,['G-III Apparel Group']
885,['ITT']
886,['IDEX']
887,['Popular']
888,['Roku']
889,['Schnitzer Steel Industries']
890,['Brookdale Senior Living']
891,['Werner Enterprises']
892,['Americold Realty Trust']
893,['SkyWest']
894,['Primerica']
895,['McAfee']
896,['Nu Skin Enterprises']
897,['Copart']
898,['PROG Holdings']
899,['Splunk']
900,['MRC Global']
901,['Stericycle']
902,['Maxim Integrated Products']
903,['Ensign Group']
904,['SM Energy']
905,['Kaiser Aluminum']
906,['Federated Mutual Insurance']
907,['F5']
908,['Steelcase']
909,['Encore Wire']
910,['Guess']
911,['Playtika Holding']
912,['Pinterest']
913,['WeWork']
914,['ManTech International']
915,['BrightView Holdings']
916,['NortonLifeLock']
917,['Deckers Outdoor']
918,['Griffon']
919,['AMC Entertainment Holdings']
920,['Curtiss-Wright']
921,['MYR Group']
922,['Kontoor Brands']
923,['Liberty Energy']
924,['Knights of Columbus']
925,['AdaptHealth']
926,['MillerKnoll']
927,['Equity Residential']
928,['DexCom']
929,['Rollins']
930,['Genesco']
931,['Bruker']
932,['Joann']
933,['Wolverine World Wide']
934,['Gray Television']
935,['Affiliated Managers Group']
936,['Summit Materials']
937,['SLM']
938,['Belden']
939,['Allison Transmission Holdings']
940,['Element Solutions']
941,['Portland General Electric']
942,['REV Group']
943,['Acadia Healthcare']
944,['Alexandria Real Estate Equities']
945,['Nordson']
946,['NewMarket']
947,['Ohio National Mutual']
948,['Stepan']
949,['Valhi']
950,['Hilton Grand Vacations']
951,['Cooper-Standard Holdings']
952,['Etsy']
953,['Crocs']
954,['Olympic Steel']
955,['Signature Bank']
956,['SBA Communications']
957,['Murphy Oil']
958,['Entegris']
959,['AvalonBay Communities']
960,['Saia']
961,['E.W. Scripps']
962,['TTEC Holdings']
963,['Sun Communities']
964,['Alpha Metallurgical Resources']
965,['GEO Group']
966,['Viasat']
967,['Benchmark Electronics']
968,['Kar Auction Services']
969,['TTM Technologies']
970,['Kirby']
971,['Woodward']
972,['Clear Channel Outdoor Holdings']
973,['Spire']
974,['Vista Outdoor']
975,['Surgery Partners']
976,['LHC Group']
977,['Amedisys']
978,['Century Aluminum']
979,['Arch Resources']
980,['Aerojet Rocketdyne Holdings']
981,['Sleep Number']
982,['HNI']
983,['Pure Storage']
984,['TrueBlue']
985,['Party City Holdco']
986,['Dun & Bradstreet Holdings']
987,['Dropbox']
988,['New Jersey Resources']
989,['Acushnet Holdings']
990,['Harsco']
991,['Beazer Homes USA']
992,['Chemed']
993,['Genesis Energy']
994,['BWX Technologies']
995,['Vizio Holding']
996,['1-800-Flowers.com']
997,['Cowen']
998,['Ashland']
999,['DocuSign']
